ITEM_ID,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01
220107,103.2878,100.2325,100.6581,103.1129,103.0114,100.4714,100.4482,83.9452,99.2541,100.6536,100.4618,101.4253,99.83505102,100.0616,100.372,100.8721,100.5122,100.7603,99.3396,99.4865,99.4926,102.1321,102.22,102.6038,99.48598395,100.3748,101.448,104.6449,105.239,106.0225,106.7884,108.6952,108.4103,109.6348,110.8627,111.1317,99.90182819,102.5959,103.0583,104.3618,105.42,106.1206,106.1555,107.1898,107.5364,107.6963,108.3494,108.6404,100.2145611,101.1862,101.639,102.7132,103.1604,103.8586,104.1445,104.2782,104.876,105.1503,104.9195,105.2429,100.0695534
220116,102.0531,100.9028,101.1254,100.7081,100.7325,100.8225,101.7972,85.5468,96.4152,97.6702,97.4841,99.729,99.83515327,100.0616,100.372,100.8721,100.1213,100.6266,100.8193,100.7653,100.8425,102.3922,102.4155,103.2869,100.126928,100.1724,100.8536,103.0812,103.6493,103.9474,104.2033,104.6211,104.5974,104.9528,105.909,106.7595,91.81300025,108.7758,109.9302,110.1495,110.8495,111.0858,111.0797,111.6692,112.4439,113.4249,113.8922,114.2203,98.22080663,102.8309,103.3063,104.1441,104.7091,104.829,105.1661,105.5122,105.6769,105.7561,105.8689,106.3176,97.7564392
220117,101.7913,100.6025,100.82,100.404,100.4284,100.5181,100.7635,82.3451,93.4817,94.9391,94.7582,94.8636,99.8351317,100.0616,100.372,100.8721,101.2198,100.6009,101.0088,101.0405,101.3395,103.0575,103.3986,104.0158,100.7164296,100.1695,100.3201,102.1219,102.6572,102.6658,102.8867,104.6224,104.5574,104.8467,107.4636,107.7595,100.2548267,102.0396,103.177,104.1378,104.6359,104.7792,104.9753,106.0716,106.7457,107.8076,108.2551,108.3502,100.445869,100.989,101.2101,102.1997,102.5365,102.5987,102.7484,103.0145,103.4862,103.6108,103.6483,104.0992,100.5798315
220121,103.3733,100.7741,100.3243,99.9104,99.9346,100.0239,100.456,84.7625,98.642,99.1437,98.9547,99.5272,99.83512045,100.0616,100.372,100.8721,101.3686,104.3388,104.1634,104.0268,104.7663,105.4183,106.7099,106.8736,99.22160384,101.0376,101.5904,103.2851,103.701,104.7104,104.524,105.5241,105.964,106.9956,107.5969,109.1427,101.0699754,100.7785,101.2235,102.5006,102.9845,103.9107,104.3783,105.4795,105.9436,107.5526,107.8554,108.3016,100.1563227,100.8258,101.4727,102.3146,103.0496,103.0088,103.4155,103.5583,103.6404,104.1852,104.3209,104.7804,99.70872415
220122,102.336,100.6815,100.4405,102.8901,102.7888,100.2543,99.7426,85.7118,98.2525,98.3741,98.1867,99.4529,99.83519837,100.0616,100.372,100.8721,104.413,104.7982,104.2205,103.9385,104.1924,105.6642,106.8085,107.5754,99.82012616,99.9133,100.3719,102.9779,103.4487,103.955,105.2453,105.5688,105.8606,106.2997,107.0571,108.5426,99.94518281,101.0025,101.5204,103.0914,104.2922,104.29,104.9853,105.5088,106.2995,107.1236,107.422,107.6723,100.0521954,100.7922,101.3347,102.0368,102.5113,102.2799,102.8076,102.9367,103.1557,103.6044,103.6011,103.8023,99.90472273
220123,104.4205,100,100,99.5874,99.6115,99.7006,101.796,101.796,101.796,101.7768,101.5828,101.5828,99.83520832,100.0616,100.372,100.8721,101.4351,101.8982,101.829,101.829,101.829,103.5688,103.5688,103.5688,100.578263,100,100,100.699,100.699,100.699,101.8164,101.8164,101.8164,102.9303,102.9303,102.9303,101.7466188,100,100,100.8986,100.8986,100.8986,104.0284,104.0284,104.0284,105.4711,105.4711,105.4711,101.2287726,100,100,103.6685,103.6685,103.6685,104.2176,104.2176,104.2176,106.0192,106.0192,106.0192,100.5966844
220124,102.4239,100.5748,100.5117,100.0969,102.2441,99.7231,101.1924,87.8885,97.9531,98.7299,98.5417,99.7706,99.83512177,100.0616,100.372,100.8721,103.7024,103.9757,104.1442,104.062,104.7245,105.8701,106.939,107.4391,100.7184535,100.2211,101.8027,103.627,103.9583,105.1823,105.4482,107.9608,109.0198,110.631,111.6735,112.1177,101.2337035,100.5958,101.1227,101.8164,104.016,103.8945,105.0455,105.0635,106.1074,105.7642,107.9466,108.5378,100.6582039,100.2843,100.6155,101.6633,102.3414,102.7237,103.3882,103.7037,104.1255,103.8322,104.2108,104.4474,100.5400805
220125,102.2314,100.2769,100.4287,100.0143,100.0385,100.1279,100.6631,84.8251,95.5291,97.3061,97.1207,98.2155,99.8351584,100.0616,100.372,100.8721,101.0597,100.9848,100.9663,101.2011,101.2707,102.882,103.3127,104.0068,100.2408496,100.2083,100.4699,101.4589,101.744,101.8164,101.9888,103.0584,103.1527,103.5748,105.1328,105.864,100.1292224,102.1753,103.2976,103.9229,104.6734,105.3472,105.1937,106.2052,106.6358,107.7411,108.5836,108.4865,100.2578201,101.1844,101.3573,102.2225,102.7759,103.0891,103.1853,103.4686,103.65,103.8399,104.041,104.2482,100.3645147
220128,102.3121,100.6276,100.1878,102.6312,102.5301,100.002,101.3704,87.1292,99.0356,99.1915,99.0025,101.2854,99.83511938,100.0616,100.372,100.8721,104.5604,104.2856,104.297,104.9307,104.2659,105.7117,106.2739,107.2398,100.0425215,100.7377,101.0883,103.5171,104.9174,105.1357,106.0653,106.7051,107.4878,108.2106,109.2319,110.426,100.9376415,100.4674,101.3397,102.9267,103.6919,104.4581,105.15,105.8077,106.2485,107.3763,107.8425,108.1867,99.71807995,100.349,100.9737,101.8392,101.9257,101.9872,102.6728,102.922,102.8352,103.6564,104.116,104.4071,100.4351237
220208,102.8572,100.0325,100.1941,102.6376,102.5365,102.9289,103.37,89.3821,100.4162,98.8242,88.8097,97.1709,100,100.316,100.4058,100.5682,100.9532,101.6137,99.0414,99.0126,100.6915,107.9575,107.7733,105.4961,99.84653461,99.9914,101.0599,103.4564,105.1448,104.869,104.467,104.7281,105.9,107.2024,105.1332,104.1,100.8717579,100.2743,102.7804,103.8345,102.6444,104.4772,105.2618,105.8559,106.4065,106.9026,106.6758,106.2203,100.2811139,100.5362,100.9483,101.5998,101.4293,101.2838,101.1862,102.382,102.4289,103.6077,102.8777,103.2159,100.0292591
